Name;PartNumber;diametreVis;Longueur;LongueurFiletee;largeurTete;hauteurTete;pas
4*20;4*20;0,004 m;0,02 m;0,014 m;0,007 m;0,0028 m;0,0007 m
16*110;16*110;0,016 m;0,11 m;0,038 m;0,024 m;0,01 m;0,002 m
5*20;5*20;0,005 m;0,02 m;0,02 m;0,008 m;0,0035 m;0,0008 m
6*60;6*60;0,006 m;0,06 m;0,018 m;0,01 m;0,004 m;0,001 m
2*6;2*6;0,002 m;0,006 m;0,006 m;0,004 m;0,0014 m;0,0004 m
10*45;10*45;0,01 m;0,045 m;0,026 m;0,016 m;0,0064 m;0,0015 m
3*20;3*20;0,003 m;0,02 m;0,012 m;0,0055 m;0,002 m;0,0005 m
16*60;16*60;0,016 m;0,06 m;0,038 m;0,024 m;0,01 m;0,002 m
6*35;6*35;0,006 m;0,035 m;0,018 m;0,01 m;0,004 m;0,001 m
2*16;2*16;0,002 m;0,016 m;0,01 m;0,004 m;0,0014 m;0,0004 m
2*10;2*10;0,002 m;0,01 m;0,01 m;0,004 m;0,0014 m;0,0004 m
12*120;12*120;0,012 m;0,12 m;0,03 m;0,018 m;0,0075 m;0,00175 m
5*45;5*45;0,005 m;0,045 m;0,016 m;0,008 m;0,0035 m;0,0008 m
16*75;16*75;0,016 m;0,075 m;0,038 m;0,024 m;0,01 m;0,002 m
4*12;4*12;0,004 m;0,012 m;0,012 m;0,007 m;0,0028 m;0,0007 m
5*12;5*12;0,005 m;0,012 m;0,012 m;0,008 m;0,0035 m;0,0008 m
6*50;6*50;0,006 m;0,05 m;0,018 m;0,01 m;0,004 m;0,001 m
16*40;16*40;0,016 m;0,04 m;0,04 m;0,024 m;0,01 m;0,002 m
3*12;3*12;0,003 m;0,012 m;0,012 m;0,0055 m;0,002 m;0,0005 m
16*170;16*170;0,016 m;0,17 m;0,17 m;0,024 m;0,01 m;0,002 m
12*100;12*100;0,012 m;0,1 m;0,03 m;0,018 m;0,0075 m;0,00175 m
4*25;4*25;0,004 m;0,025 m;0,014 m;0,007 m;0,0028 m;0,0007 m
16*120;16*120;0,016 m;0,12 m;0,038 m;0,024 m;0,01 m;0,002 m
5*25;5*25;0,005 m;0,025 m;0,016 m;0,008 m;0,0035 m;0,0008 m
8*16;8*16;0,008 m;0,016 m;0,016 m;0,013 m;0,0053 m;0,00125 m
12*55;12*55;0,012 m;0,055 m;0,03 m;0,018 m;0,0075 m;0,00175 m
10*50;10*50;0,01 m;0,05 m;0,026 m;0,016 m;0,0064 m;0,0015 m
3*25;3*25;0,003 m;0,025 m;0,012 m;0,0055 m;0,002 m;0,0005 m
16*65;16*65;0,016 m;0,065 m;0,038 m;0,024 m;0,01 m;0,002 m
4*30;4*30;0,004 m;0,03 m;0,014 m;0,007 m;0,0028 m;0,0007 m
2*12;2*12;0,002 m;0,012 m;0,012 m;0,004 m;0,0014 m;0,0004 m
3*5;3*5;0,003 m;0,005 m;0,005 m;0,0055 m;0,002 m;0,0005 m
16*130;16*130;0,016 m;0,13 m;0,044 m;0,024 m;0,01 m;0,002 m
16*30;16*30;0,016 m;0,03 m;0,03 m;0,024 m;0,01 m;0,002 m
12*70;12*70;0,012 m;0,07 m;0,03 m;0,018 m;0,0075 m;0,00175 m
16*80;16*80;0,016 m;0,08 m;0,038 m;0,024 m;0,01 m;0,002 m
5*16;5*16;0,005 m;0,016 m;0,016 m;0,008 m;0,0035 m;0,0008 m
10*30;10*30;0,01 m;0,03 m;0,03 m;0,016 m;0,0064 m;0,0015 m
16*45;16*45;0,016 m;0,045 m;0,045 m;0,024 m;0,01 m;0,002 m
3*16;3*16;0,003 m;0,016 m;0,012 m;0,0055 m;0,002 m;0,0005 m
16*180;16*180;0,016 m;0,18 m;0,18 m;0,024 m;0,01 m;0,002 m
10*80;10*80;0,01 m;0,08 m;0,026 m;0,016 m;0,0064 m;0,0015 m
12*110;12*110;0,012 m;0,11 m;0,03 m;0,018 m;0,0075 m;0,00175 m
5*30;5*30;0,005 m;0,03 m;0,016 m;0,008 m;0,0035 m;0,0008 m
8*35;8*35;0,008 m;0,035 m;0,022 m;0,013 m;0,0053 m;0,00125 m
12*60;12*60;0,012 m;0,06 m;0,03 m;0,018 m;0,0075 m;0,00175 m
10*55;10*55;0,01 m;0,055 m;0,026 m;0,016 m;0,0064 m;0,0015 m
3*30;3*30;0,003 m;0,03 m;0,012 m;0,0055 m;0,002 m;0,0005 m
16*70;16*70;0,016 m;0,07 m;0,038 m;0,024 m;0,01 m;0,002 m
4*35;4*35;0,004 m;0,035 m;0,014 m;0,007 m;0,0028 m;0,0007 m
12*25;12*25;0,012 m;0,025 m;0,025 m;0,018 m;0,0075 m;0,00175 m
3*6;3*6;0,003 m;0,006 m;0,006 m;0,0055 m;0,002 m;0,0005 m
16*140;16*140;0,016 m;0,14 m;0,044 m;0,024 m;0,01 m;0,002 m
16*35;16*35;0,016 m;0,035 m;0,035 m;0,024 m;0,01 m;0,002 m
8*50;8*50;0,008 m;0,05 m;0,022 m;0,013 m;0,0053 m;0,00125 m
12*75;12*75;0,012 m;0,075 m;0,03 m;0,018 m;0,0075 m;0,00175 m
16*90;16*90;0,016 m;0,09 m;0,038 m;0,024 m;0,01 m;0,002 m
12*40;12*40;0,012 m;0,04 m;0,04 m;0,018 m;0,0075 m;0,00175 m
10*35;10*35;0,01 m;0,035 m;0,035 m;0,016 m;0,0064 m;0,0015 m
16*50;16*50;0,016 m;0,05 m;0,05 m;0,024 m;0,01 m;0,002 m
8*65;8*65;0,008 m;0,065 m;0,022 m;0,013 m;0,0053 m;0,00125 m
10*90;10*90;0,01 m;0,09 m;0,026 m;0,016 m;0,0064 m;0,0015 m
5*50;5*50;0,005 m;0,05 m;0,016 m;0,008 m;0,0035 m;0,0008 m
8*40;8*40;0,008 m;0,04 m;0,022 m;0,013 m;0,0053 m;0,00125 m
12*65;12*65;0,012 m;0,065 m;0,03 m;0,018 m;0,0075 m;0,00175 m
10*60;10*60;0,01 m;0,06 m;0,026 m;0,016 m;0,0064 m;0,0015 m
4*40;4*40;0,004 m;0,04 m;0,014 m;0,007 m;0,0028 m;0,0007 m
8*80;8*80;0,008 m;0,08 m;0,022 m;0,013 m;0,0053 m;0,00125 m
12*30;12*30;0,012 m;0,03 m;0,03 m;0,018 m;0,0075 m;0,00175 m
3*8;3*8;0,003 m;0,008 m;0,008 m;0,0055 m;0,002 m;0,0005 m
16*150;16*150;0,016 m;0,15 m;0,044 m;0,024 m;0,01 m;0,002 m
6*20;6*20;0,006 m;0,02 m;0,02 m;0,01 m;0,004 m;0,001 m
10*65;10*65;0,01 m;0,065 m;0,026 m;0,016 m;0,0064 m;0,0015 m
8*55;8*55;0,008 m;0,055 m;0,022 m;0,013 m;0,0053 m;0,00125 m
12*80;12*80;0,012 m;0,08 m;0,03 m;0,018 m;0,0075 m;0,00175 m
8*20;8*20;0,008 m;0,02 m;0,02 m;0,013 m;0,0053 m;0,00125 m
12*45;12*45;0,012 m;0,045 m;0,03 m;0,018 m;0,0075 m;0,00175 m
10*40;10*40;0,01 m;0,04 m;0,026 m;0,016 m;0,0064 m;0,0015 m
16*55;16*55;0,016 m;0,055 m;0,038 m;0,024 m;0,01 m;0,002 m
8*70;8*70;0,008 m;0,07 m;0,022 m;0,013 m;0,0053 m;0,00125 m
10*100;10*100;0,01 m;0,1 m;0,026 m;0,016 m;0,0064 m;0,0015 m
6*12;6*12;0,006 m;0,012 m;0,012 m;0,01 m;0,004 m;0,001 m
8*45;8*45;0,008 m;0,045 m;0,022 m;0,013 m;0,0053 m;0,00125 m
10*20;10*20;0,01 m;0,02 m;0,02 m;0,016 m;0,0064 m;0,0015 m
2*4;2*4;0,002 m;0,004 m;0,004 m;0,004 m;0,0014 m;0,0004 m
12*35;12*35;0,012 m;0,035 m;0,035 m;0,018 m;0,0075 m;0,00175 m
16*190;16*190;0,016 m;0,19 m;0,19 m;0,024 m;0,01 m;0,002 m
6*25;6*25;0,006 m;0,025 m;0,025 m;0,01 m;0,004 m;0,001 m
10*70;10*70;0,01 m;0,07 m;0,026 m;0,016 m;0,0064 m;0,0015 m
8*60;8*60;0,008 m;0,06 m;0,022 m;0,013 m;0,0053 m;0,00125 m
